id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Exceptional Essays/researchpaper90.docx,Exceptional Essays/researchpaper90.docx,0,fewshot,reversed,10,"This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.""
  }
]"
Exceptional Essays/researchpaper31.docx,Exceptional Essays/researchpaper31.docx,1,fewshot,reversed,10,The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.""
  }
]"
Exceptional Essays/researchpaper80.docx,Exceptional Essays/researchpaper80.docx,2,fewshot,reversed,10,"This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.""
  }
]"
Poor Essays/poor_essay_84.docx,Poor Essays/poor_essay_84.docx,3,fewshot,reversed,3,"Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.""
  }
]"
Average Essays/average_essay_74.docx,Average Essays/average_essay_74.docx,4,fewshot,reversed,8,This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper exhibits exceptional technical depth, precise scientific language, and a rigorous organizational structure that perfectly matches the 10/10 calibration anchor.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates expert-level understanding of machine learning concepts with a polished flow and professional delivery consistent with high-level scholarly publishing.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This work displays high-level theoretical engagement and sophisticated structure, utilizing specific domain knowledge and seamless transitions throughout the text.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""Although the narrative is clear and grammatically sound, it lacks the descriptive depth, length, and structural complexity of the 5/10 calibration anchor.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""This is a well-structured and insightful reflective essay that effectively uses specific anecdotes to bridge the gap between a personal hobby and professional development.""
  }
]"
Exceptional Essays/researchpaper35.docx,Exceptional Essays/researchpaper35.docx,0,fewshot,reversed,10,"This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.""
  }
]"
Poor Essays/poor_essay_35.docx,Poor Essays/poor_essay_35.docx,1,fewshot,reversed,5,"The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.""
  }
]"
Average Essays/average_essay_24.docx,Average Essays/average_essay_24.docx,2,fewshot,reversed,8,"The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.""
  }
]"
Exceptional Essays/researchpaper93.docx,Exceptional Essays/researchpaper93.docx,3,fewshot,reversed,10,"This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.""
  }
]"
Exceptional Essays/researchpaper61.docx,Exceptional Essays/researchpaper61.docx,4,fewshot,reversed,10,The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with exceptional clarity, logical progression, and a professional command of technical linguistic concepts.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and follows a logical sequence, but it is very basic in content and lacks the depth, complexity, or advanced vocabulary found in higher-level work.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""The essay provides a well-researched and deep analysis of environmental impacts with strong citations, though it contains minor spelling errors and an unrelated project report that disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This paper is an exemplary technical document with a clear organizational framework, rigorous methodology, and a high level of scholarly depth.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The work is a polished and insightful analysis of language model scaling that demonstrates excellent structural flow and precise adherence to academic standards.""
  }
]"
Average Essays/average_essay_89.docx,Average Essays/average_essay_89.docx,0,fewshot,reversed,8,"The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 3,
    ""justification"": ""The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.""
  }
]"
Poor Essays/poor_essay_41.docx,Poor Essays/poor_essay_41.docx,1,fewshot,reversed,3,"The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 3,
    ""justification"": ""The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.""
  }
]"
Average Essays/average_essay_53.docx,Average Essays/average_essay_53.docx,2,fewshot,reversed,9,"This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 3,
    ""justification"": ""The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.""
  }
]"
Average Essays/average_essay_1.docx,Average Essays/average_essay_1.docx,3,fewshot,reversed,7,"The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 3,
    ""justification"": ""The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.""
  }
]"
Poor Essays/poor_essay_37.docx,Poor Essays/poor_essay_37.docx,4,fewshot,reversed,4,"While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""The essay effectively uses a culinary metaphor to explore the complexities of collaboration with strong descriptive language and clear, creative organization.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 3,
    ""justification"": ""The narrative is overly simplistic, featuring repetitive sentence structures and a lack of descriptive depth or character development compared to the calibration anchors.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished personal statement demonstrating sophisticated vocabulary, logical progression, and a deep, thoughtful connection between personal experience and academic goals.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The essay presents a cohesive and engaging narrative arc with solid flow and clear focus on the subject's resilience, though it remains primarily descriptive.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""While creative and mechanically sound, this poem relies on conventional imagery and lacks the structural complexity and analytical depth of more advanced compositions.""
  }
]"
Average Essays/average_essay_61.docx,Average Essays/average_essay_61.docx,0,fewshot,reversed,9,"The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.""
  }
]"
Poor Essays/poor_essay_67.docx,Poor Essays/poor_essay_67.docx,1,fewshot,reversed,6,"This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.""
  }
]"
Average Essays/average_essay_90.docx,Average Essays/average_essay_90.docx,2,fewshot,reversed,9,The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.""
  }
]"
Exceptional Essays/researchpaper70.docx,Exceptional Essays/researchpaper70.docx,3,fewshot,reversed,10,"This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.""
  }
]"
Average Essays/average_essay_58.docx,Average Essays/average_essay_58.docx,4,fewshot,reversed,8,A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""The essay effectively uses the 'Oreo' metaphor and musical notation as a sophisticated framework to explore racial identity and self-definition with polished, fluid prose.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""This is a solid, logically organized persuasive essay that uses specific evidence, though it follows a very formulaic structure and lacks stylistic depth.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The author demonstrates impressive maturity and depth by bridging personal relationships with a nuanced analysis of national political polarization.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper excerpt is exemplary, showing professional-level mastery of complex concepts, rigorous citation, and clear, high-level structural organization.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""A strong personal narrative that utilizes specific cultural details and a clear emotional arc to document a transition from assimilation to cultural pride.""
  }
]"
Poor Essays/poor_essay_33.docx,Poor Essays/poor_essay_33.docx,0,fewshot,reversed,4,"This is a coherent personal narrative with clear chronological organization, but it lacks the depth, descriptive detail, and sophisticated transitions found in higher-scoring examples.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 4,
    ""justification"": ""This is a coherent personal narrative with clear chronological organization, but it lacks the depth, descriptive detail, and sophisticated transitions found in higher-scoring examples.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 1,
    ""justification"": ""The text contains pervasive spelling and grammatical errors that significantly impede readability and demonstrate a fundamental lack of writing proficiency.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This academic excerpt is exemplary, featuring a sophisticated logical progression, precise technical vocabulary, and professional structural integration of citations and figures.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is nearly flawless, demonstrating deep conceptual knowledge and a clear, well-organized transition from theoretical geometry to practical application.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This essay provides a polished and insightful exploration of complex machine learning concepts with perfect adherence to professional academic standards and clarity.""
  }
]"
Poor Essays/poor_essay_87.docx,Poor Essays/poor_essay_87.docx,1,fewshot,reversed,1,The text contains pervasive spelling and grammatical errors that significantly impede readability and demonstrate a fundamental lack of writing proficiency.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 4,
    ""justification"": ""This is a coherent personal narrative with clear chronological organization, but it lacks the depth, descriptive detail, and sophisticated transitions found in higher-scoring examples.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 1,
    ""justification"": ""The text contains pervasive spelling and grammatical errors that significantly impede readability and demonstrate a fundamental lack of writing proficiency.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This academic excerpt is exemplary, featuring a sophisticated logical progression, precise technical vocabulary, and professional structural integration of citations and figures.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is nearly flawless, demonstrating deep conceptual knowledge and a clear, well-organized transition from theoretical geometry to practical application.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This essay provides a polished and insightful exploration of complex machine learning concepts with perfect adherence to professional academic standards and clarity.""
  }
]"
Exceptional Essays/researchpaper58.docx,Exceptional Essays/researchpaper58.docx,2,fewshot,reversed,10,"This academic excerpt is exemplary, featuring a sophisticated logical progression, precise technical vocabulary, and professional structural integration of citations and figures.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 4,
    ""justification"": ""This is a coherent personal narrative with clear chronological organization, but it lacks the depth, descriptive detail, and sophisticated transitions found in higher-scoring examples.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 1,
    ""justification"": ""The text contains pervasive spelling and grammatical errors that significantly impede readability and demonstrate a fundamental lack of writing proficiency.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This academic excerpt is exemplary, featuring a sophisticated logical progression, precise technical vocabulary, and professional structural integration of citations and figures.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is nearly flawless, demonstrating deep conceptual knowledge and a clear, well-organized transition from theoretical geometry to practical application.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This essay provides a polished and insightful exploration of complex machine learning concepts with perfect adherence to professional academic standards and clarity.""
  }
]"
Exceptional Essays/researchpaper65.docx,Exceptional Essays/researchpaper65.docx,3,fewshot,reversed,10,"The writing is nearly flawless, demonstrating deep conceptual knowledge and a clear, well-organized transition from theoretical geometry to practical application.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 4,
    ""justification"": ""This is a coherent personal narrative with clear chronological organization, but it lacks the depth, descriptive detail, and sophisticated transitions found in higher-scoring examples.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 1,
    ""justification"": ""The text contains pervasive spelling and grammatical errors that significantly impede readability and demonstrate a fundamental lack of writing proficiency.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""This academic excerpt is exemplary, featuring a sophisticated logical progression, precise technical vocabulary, and professional structural integration of citations and figures.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is nearly flawless, demonstrating deep conceptual knowledge and a clear, well-organized transition from theoretical geometry to practical application.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This essay provides a polished and insightful exploration of complex machine learning concepts with perfect adherence to professional academic standards and clarity.""
  }
]"
