id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Exceptional Essays/researchpaper90.docx,Exceptional Essays/researchpaper90.docx,0,zeroshot,reversed,7,"The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 7,
    ""justification"": ""The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 5,
    ""justification"": ""The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.""
  }
]"
Exceptional Essays/researchpaper31.docx,Exceptional Essays/researchpaper31.docx,1,zeroshot,reversed,8,This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 7,
    ""justification"": ""The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 5,
    ""justification"": ""The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.""
  }
]"
Exceptional Essays/researchpaper80.docx,Exceptional Essays/researchpaper80.docx,2,zeroshot,reversed,6,"Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 7,
    ""justification"": ""The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 5,
    ""justification"": ""The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.""
  }
]"
Poor Essays/poor_essay_84.docx,Poor Essays/poor_essay_84.docx,3,zeroshot,reversed,5,"The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 7,
    ""justification"": ""The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 5,
    ""justification"": ""The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.""
  }
]"
Average Essays/average_essay_74.docx,Average Essays/average_essay_74.docx,4,zeroshot,reversed,9,This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 7,
    ""justification"": ""The technical content is robust and professional, though the text is an incomplete fragment with minor formatting artifacts that disrupt the flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This excerpt is well-organized and clearly articulates a specific research problem and its industrial significance with high professional clarity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""Despite the advanced theoretical depth, the readability is significantly compromised by intrusive metadata artifacts and an abrupt structural shift to the bibliography.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 5,
    ""justification"": ""The narrative is clear and mechanically correct, but it is overly simplistic in both its vocabulary and its thematic development compared to the other entries.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is a highly polished and insightful piece of writing that effectively uses specific imagery to explore complex themes of persistence and transferable skills.""
  }
]"
Exceptional Essays/researchpaper35.docx,Exceptional Essays/researchpaper35.docx,0,zeroshot,reversed,8,"This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 7,
    ""justification"": ""While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.""
  }
]"
Poor Essays/poor_essay_35.docx,Poor Essays/poor_essay_35.docx,1,zeroshot,reversed,6,"The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 7,
    ""justification"": ""While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.""
  }
]"
Average Essays/average_essay_24.docx,Average Essays/average_essay_24.docx,2,zeroshot,reversed,7,"While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 7,
    ""justification"": ""While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.""
  }
]"
Exceptional Essays/researchpaper93.docx,Exceptional Essays/researchpaper93.docx,3,zeroshot,reversed,7,"The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 7,
    ""justification"": ""While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.""
  }
]"
Exceptional Essays/researchpaper61.docx,Exceptional Essays/researchpaper61.docx,4,zeroshot,reversed,9,"This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a professional and linguistically grounded technical excerpt with excellent grammar and focus, though it is presented as a fragmented research paper.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 6,
    ""justification"": ""The narrative is clear, coherent, and uses effective transitions, but the content remains surface-level and simple in its overall complexity.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 7,
    ""justification"": ""While the main research essay is detailed and well-supported by citations, the inclusion of an unrelated student report at the end significantly compromises the structural focus.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 7,
    ""justification"": ""The text demonstrates significant depth in machine learning research, but readability and flow are negatively impacted by broken LaTeX formatting and an incomplete structure.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an exemplary piece of technical writing that is polished, insightful, and maintains a clear logical progression and professional tone throughout.""
  }
]"
