id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Average Essays/average_essay_74.docx,Average Essays/average_essay_74.docx,0,fewshot,original,9,"This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 4,
    ""justification"": ""While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.""
  }
]"
Poor Essays/poor_essay_84.docx,Poor Essays/poor_essay_84.docx,1,fewshot,original,4,"While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 4,
    ""justification"": ""While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.""
  }
]"
Exceptional Essays/researchpaper80.docx,Exceptional Essays/researchpaper80.docx,2,fewshot,original,10,"An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 4,
    ""justification"": ""While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.""
  }
]"
Exceptional Essays/researchpaper31.docx,Exceptional Essays/researchpaper31.docx,3,fewshot,original,10,The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 4,
    ""justification"": ""While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.""
  }
]"
Exceptional Essays/researchpaper90.docx,Exceptional Essays/researchpaper90.docx,4,fewshot,original,10,"This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This essay is highly polished and insightful, demonstrating excellent flow and a sophisticated ability to connect personal hobbies to professional development.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 4,
    ""justification"": ""While grammatically correct, the essay is very brief and simplistic, lacking the narrative complexity and depth found in the 5/10 calibration anchor.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary scientific paper that matches the high standards of the 10/10 anchor in terms of technical depth, formal structure, and academic prose.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 10,
    ""justification"": ""The writing is professionally structured and demonstrates a profound understanding of complex machine learning applications in causal inference.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""This academic work is nearly flawless, showing significant knowledge depth and a logical, well-structured presentation of research findings.""
  }
]"
Exceptional Essays/researchpaper61.docx,Exceptional Essays/researchpaper61.docx,0,fewshot,original,10,"This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 9,
    ""justification"": ""The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.""
  }
]"
Exceptional Essays/researchpaper93.docx,Exceptional Essays/researchpaper93.docx,1,fewshot,original,9,"The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 9,
    ""justification"": ""The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.""
  }
]"
Average Essays/average_essay_24.docx,Average Essays/average_essay_24.docx,2,fewshot,original,8,"This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 9,
    ""justification"": ""The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.""
  }
]"
Poor Essays/poor_essay_35.docx,Poor Essays/poor_essay_35.docx,3,fewshot,original,4,"While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 9,
    ""justification"": ""The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.""
  }
]"
Exceptional Essays/researchpaper35.docx,Exceptional Essays/researchpaper35.docx,4,fewshot,original,10,"The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper with sophisticated flow, precise technical content, and a perfectly organized logical structure.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 9,
    ""justification"": ""The content is highly professional and technically deep, though the introduction is presented as an outline rather than a prose narrative, slightly impacting initial flow.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 8,
    ""justification"": ""This is a high-quality, well-researched essay with strong citations and clear transitions, though the inclusion of a separate project report at the end slightly disrupts the overall structure.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""While clear and grammatically correct, the writing is very basic with repetitive transitions and lacks the intellectual depth or complexity expected of higher-level work.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 10,
    ""justification"": ""The text is polished and professional, providing a clear, linguistically grounded argument with a well-defined structure and thorough engagement with the topic.""
  }
]"
