id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Average Essays/average_essay_74.docx,Average Essays/average_essay_74.docx,0,zeroshot,original,9,This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.,False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 5,
    ""justification"": ""While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 6,
    ""justification"": ""The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.""
  }
]"
Poor Essays/poor_essay_84.docx,Poor Essays/poor_essay_84.docx,1,zeroshot,original,5,"The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 5,
    ""justification"": ""While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 6,
    ""justification"": ""The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.""
  }
]"
Exceptional Essays/researchpaper80.docx,Exceptional Essays/researchpaper80.docx,2,zeroshot,original,5,"While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 5,
    ""justification"": ""While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 6,
    ""justification"": ""The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.""
  }
]"
Exceptional Essays/researchpaper31.docx,Exceptional Essays/researchpaper31.docx,3,zeroshot,original,6,"The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 5,
    ""justification"": ""While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 6,
    ""justification"": ""The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.""
  }
]"
Exceptional Essays/researchpaper90.docx,Exceptional Essays/researchpaper90.docx,4,zeroshot,original,4,"The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 9,
    ""justification"": ""This is a sophisticated and engaging personal narrative that masterfully connects specific hobbyist anecdotes to broader professional and philosophical insights with excellent flow.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 5,
    ""justification"": ""The writing is clear and grammatically correct, but it is extremely simplistic in its content, vocabulary, and structural development.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 5,
    ""justification"": ""While the technical content is high-level, the submission is an incomplete fragment of an academic paper hindered by intrusive metadata artifacts.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 6,
    ""justification"": ""The text is a professional and well-written academic excerpt that shows clear focus, though it lacks the body and logical progression of a complete essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 4,
    ""justification"": ""The academic quality is evident, but the score is significantly lowered by poor formatting, split words, and intrusive metadata that disrupt the flow and readability.""
  }
]"
Exceptional Essays/researchpaper61.docx,Exceptional Essays/researchpaper61.docx,0,zeroshot,original,8,"This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.""
  }
]"
Exceptional Essays/researchpaper93.docx,Exceptional Essays/researchpaper93.docx,1,zeroshot,original,8,"The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.""
  }
]"
Average Essays/average_essay_24.docx,Average Essays/average_essay_24.docx,2,zeroshot,original,6,"The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.""
  }
]"
Poor Essays/poor_essay_35.docx,Poor Essays/poor_essay_35.docx,3,zeroshot,original,4,"The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.""
  }
]"
Exceptional Essays/researchpaper35.docx,Exceptional Essays/researchpaper35.docx,4,zeroshot,original,9,"This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 8,
    ""justification"": ""This is a sophisticated research excerpt with deep technical insight, though the flow is slightly interrupted by the raw data strings in the text.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""The writing demonstrates high academic rigor and clarity, but the presentation of the table of contents within the text body hampers readability.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 6,
    ""justification"": ""The core essay is informative and well-evidenced, but the grade is reduced due to typos and the inclusion of an unrelated project report at the end.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 4,
    ""justification"": ""The narrative is clear and well-sequenced for a younger writer, but it lacks the analytical depth and formal structure required of an advanced essay.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 9,
    ""justification"": ""This is an outstanding academic piece that offers a polished, professional, and well-reasoned introduction to a novel detection framework.""
  }
]"
Poor Essays/poor_essay_37.docx,Poor Essays/poor_essay_37.docx,0,zeroshot,original,5,"While the poem is rhythmically consistent and clear, it remains very elementary in its imagery and lacks the depth or analytical complexity expected of a high-scoring composition.",False,"[
  {
    ""id"": ""1"",
    ""pred_score"": 5,
    ""justification"": ""While the poem is rhythmically consistent and clear, it remains very elementary in its imagery and lacks the depth or analytical complexity expected of a high-scoring composition.""
  },
  {
    ""id"": ""2"",
    ""pred_score"": 8,
    ""justification"": ""This is a compelling and well-paced narrative that effectively uses dialogue and specific medical details to illustrate a clear arc of resilience.""
  },
  {
    ""id"": ""3"",
    ""pred_score"": 9,
    ""justification"": ""The essay is highly sophisticated and professionally written, demonstrating deep engagement with specific academic goals and a clear logical progression from personal experience to future aspirations.""
  },
  {
    ""id"": ""4"",
    ""pred_score"": 3,
    ""justification"": ""The writing is very basic and repetitive, utilizing clichéd plot points and simple sentence structures that lack descriptive depth and narrative tension.""
  },
  {
    ""id"": ""5"",
    ""pred_score"": 8,
    ""justification"": ""The author successfully uses a creative instructional framework to provide thoughtful reflections on the complexities of collaboration and interpersonal dynamics.""
  }
]"
